uid,issue_age,service_score,age_days,issue_days,is_bad
564053445713921,9,93,10940,3450,0
564261894103040,9,86,11803,3345,0
564413395502735,4,92,10827,1518,0
564557809978609,4,88,13831,1529,1
565172787943979,11,99,11979,4283,0
565229856499567,14,91,13524,5429,0
565338692853669,11,80,12763,4057,0
565826087690520,9,95,11012,3450,0
580542145287413,6,97,10209,2216,0
580542284112917,5,80,12813,2153,0
580542286884331,4,95,10741,1697,0
563606731235329,8,90,14154,3239,0
563764122746882,19,95,14584,6975,0
563808149835779,14,94,13150,5324,0
564170300522496,7,92,10685,2608,0
564206617894912,7,90,12336,2617,0
564282602094592,4,93,12636,1563,0
565089946051758,10,91,12520,3754,0
565568581147469,14,82,12120,5288,0
565903689065603,11,84,12023,4134,0
565974074204352,18,88,14258,6735,0
566250712273346,4,84,12452,1746,0
567950074596046,5,93,9420,1914,0
567950083652951,9,93,14048,3634,0
567950139480282,5,90,14123,2040,0
567950191168404,5,95,10135,2083,0
567950191624078,7,93,10350,2579,0
580542280268746,9,87,10040,3297,0
580542287626352,26,98,17973,9843,0
580542298551068,4,96,8917,1733,0
563578240901120,5,89,11676,2160,0
563685056970752,4,97,14917,1570,0
563855662317569,5,84,9361,1921,0
564124480770048,11,91,11704,4157,0
565030784738897,6,92,12271,2213,0
565915519490322,6,91,12409,2454,0
566182598872326,4,89,9203,1495,0
566339764488130,8,93,11332,3141,0
567950047868721,6,89,11672,2419,0
580542169986942,10,84,11003,3813,0
580542228564017,8,93,11519,3265,0
580542305050137,23,89,17030,8741,0
580542314898425,4,89,11141,1811,0
563430619742208,13,85,14968,4811,0
563764494737411,10,90,12276,3777,0
563853977583616,11,92.95,11905,4090,0
564069884166146,4,88,10194,1609,0
564895357731804,16,98,15496,6085,0
565401342254562,7,89,11378,2589,0
565490610210771,6,95,9855,2279,0
565548034827022,4,84,10563,1649,0
566203500989095,15,67,12481,5787,0
566260600278988,16,86,13415,5987,0
580542228933806,10,78,13923,3763,0
580542255331449,4,83,10076,1762,0
580542297143526,6,80,9930,2399,0
580542321979886,9,86,11358,3586,0
563518625218561,7,97,11250,2875,0
564619877817585,11,100,18183,4325,0
565535553359889,22,100,15714,8255,0
565710824613738,8,96,11518,2970,0
565911446497894,3,86,10453,1229,0
580542157816051,4,93,13739,1528,0
580542264670841,5,99,10913,1987,0
580542274115441,7,90,14362,2908,0
580542306965621,10,100,11456,3719,1
580542327029384,8,97,12605,3253,0
563457764433920,5,97,13640,2027,0
564067013951488,4,82,14889,1515,0
564506379362968,4,99,12130,1628,0
565064757880353,7,96,14719,2733,0
565485770446348,6,83,11460,2412,0
565613815802384,12,74,12031,4664,0
566233651687206,20,88,18095,7342,0
567949960970338,25,92,17143,9468,0
567950051368394,11,88,11769,4150,0
567950188838430,17,93,13110,6339,0
580542159976420,13,91,14079,5080,0
580542239157172,7,87,10568,2594,0
580542254146200,3,96,9465,1369,0
580542278207952,3,85,10985,1446,0
580542289028644,4,93,10522,1790,0
580542301713390,7,76,11288,2727,0
580542308166730,3,85,9670,1392,0
563130039472134,23,87,18196,8742,0
563403896655872,7,90,10738,2749,0
563735412080643,7,85.3,9499,2767,0
563813029707779,5,100,12745,2092,0
563813898452994,10,81,15914,3700,0
564861161898585,6,92,12599,2218,0
565179017338999,8,86,10176,2929,0
565371932124160,3,82,10963,1221,0
565666903174725,18,85,14870,6780,0
565905447857601,8,89,13512,3278,0
565956555773370,10,95,13501,3889,0
567950007659531,13,64,17625,4985,0
567950007993333,7,87,10229,2714,0
567950193080405,9,85,13251,3436,0
580542159635286,6,88,11962,2235,0
580542240895033,5,90,9505,2006,0
580542241771117,4,99,10003,1758,0
580542253379453,6,92,10518,2253,0
580542268763071,5,86,9968,2149,0
580542270464675,10,94,11633,3884,0
580542276378423,6,93,12725,2551,0
580542277438441,4,91,10273,1733,0
580542298315231,4,99,9717,1815,0
580542336447101,11,90,13305,4295,0
563389016047616,15,97,13725,5760,0
563524070019072,3,95,10773,1433,0
563780555706369,11,92,13372,4017,0
564165205041152,6,89,11092,2287,0
564415133716291,9,90,11960,3398,0
564941539582632,11,100,12577,4190,0
565028396205287,21,78,17232,7846,0
565150447898402,5,99,13551,2088,0
565253758915172,9,89,10686,3624,0
565429117853699,16,88,13711,5970,0
565463594246035,6,92,11512,2425,0
566372226637992,8,78,11183,3034,0
567949979394088,5,89,10284,2146,0
567950173590266,4,79,10461,1498,0
580542226781288,11,86,12909,4101,0
580542262736734,7,82,9688,2854,0
580542290518027,4,80,11960,1500,0
580542292252982,11,81,13589,4181,0
564852182425231,8,95,10757,3201,0
565506924749722,22,93,16128,8331,0
566017494485407,5,89,9608,1972,0
566091240444884,12,94,19000,4567,0
567950011741573,8,70,10134,3259,0
580542171904507,6,74,14621,2239,0
580542173186483,7,83,10016,2876,0
580542183350103,7,95,18010,2842,0
580542260332646,3,71,11890,1383,0
580542279385386,9,80,11466,3355,0
580542281758305,7,85,11373,2799,0
565552199964719,8,71,11640,3196,0
565722320348823,9,88,14089,3378,0
567949976275018,8,93,11560,2994,0
567950073162456,5,91,9968,1916,0
567950195232154,6,100,12675,2322,0
580542264200498,7,90,11682,2917,0
580542278678538,13,94,13896,4883,0
564226688225284,-1,89,10245,-1,0
565072543229450,10,95,12231,3763,0
566010101569015,17,91,13174,6346,0
566270263364828,7,99,12931,2768,0
567949984884249,7,88,10808,2852,0
567950016365051,11,97,12935,4091,0
567950048244941,6,95,9050,2272,0
567950067526208,9,100,12350,3394,0
567950125167891,8,84,14805,3205,0
567950140322025,11,86,11505,4273,0
567950189836191,13,93,17515,4857,0
580542159077993,11,90,12641,4315,0
580542177658543,15,80,12723,5701,0
580542230957181,6,90,11707,2444,0
580542241950165,17,86,13030,6268,0
580542265795886,5,82,9279,1901,0
580542273007463,12,94,11354,4457,0
580542277046729,5,87,13228,2157,0
580542304781901,8,83,10296,3174,0
580542315740127,3,88,11160,1365,0
563632378413056,9,95,13637,3419,0
564465728623066,4,98,10193,1727,0
564535048350399,3,93,10421,1321,0
566239159456682,23,94,15695,8413,0
567950064286736,4,90,12238,1822,0
567950086667505,6,99,10456,2370,0
567950146739322,6,87,12302,2438,0
567950196746760,9,89,13394,3625,0
580542148105814,5,94,13322,1903,0
580542249331332,4,88,8444,1560,0
580542266720286,6,84,9615,2277,0
580542310986658,15,89,16367,5815,0
563475796660225,10,80,11891,3971,0
563907024257025,6,91,9673,2398,0
564800261729921,8,92,11125,3008,0
564815507500499,10,87,17984,3808,0
565043727575026,8,97,12172,2988,0
565303693284823,10,95,11760,3999,0
565314892011489,11,89,13384,4293,0
565746713167136,4,97,11030,1805,0
566393032022770,7,78,13850,2827,0
567950006888219,4,89,11463,1566,0
567950107570869,4,91,9992,1732,0
580542146848365,7,98,10759,2747,0
580542240914929,12,85,11442,4483,0
580542257102802,8,98,13562,2988,0
580542261180831,5,96,10021,2102,1
580542296645717,12,94,14495,4692,0
580542304462369,4,99,14956,1616,0
564665430909387,5,93,9387,2070,0
565186395057046,6,80,12704,2382,0
565356399306339,7,99,10290,2670,0
565672635336801,15,82,15415,5807,0
566028404005286,5,90,8850,2034,0
567950081889430,5,88,11385,1863,0
580542152459000,5,80,10031,1936,0
580542157934302,6,94,11076,2530,0
580542187571164,5,83,11846,1935,0
580542263366066,4,92,10097,1641,0
580542273360314,3,96,9210,1430,0
580542273608197,3,91,8826,1458,0
580542309250618,14,93,14975,5353,0
580542318785514,3,89,8412,1395,0
563962724155396,22,89,15345,8087,0
564733683631080,5,91,12063,2148,0
564912876887106,12,100,11799,4436,0
565043469419652,8,94,11626,3000,0
565063149300595,8,94,10312,2921,0
565400897529627,10,87,11998,3764,0
566183128933637,7,97,10552,2786,0
567950069580786,4,80,11803,1615,0
567950082101207,9,100,16051,3352,0
580542150097445,4,89,12197,1578,0
580542168020801,4,96,9570,1612,0
580542168516915,4,69,8702,1609,0
580542171382403,18,98,12767,6585,0
580542219048007,5,88,11333,2088,0
580542234245893,7,96,9923,2887,0
580542274474187,7,94,10836,2621,0
580542322364458,5,90,13619,2061,0
562950076472926,10,70,16488,3793,0
563978933047301,4,87,9388,1601,0
564285673836544,5,87,12881,2007,0
564455525131840,3,96,10583,1454,0
565574766242267,20,92,18929,7620,0
565754509008316,8,90,12017,3071,0
565922560280748,13,92,15329,5099,0
565925865195126,4,80,10811,1538,0
566192550840002,7,84,9930,2655,0
567950167358605,7,76,9652,2832,0
580542157495632,4,97,9174,1802,0
580542284408870,7,73,9531,2722,0
580542293004916,17,93,13164,6306,0
580542302707510,3,95,10886,1433,0
565110602929452,17,81,16693,6428,0
565237133158803,10,87,15139,3779,0
565541206557708,11,99,13623,4247,0
565595888495703,3,84,11206,1411,0
565806191355000,11,94,13226,4050,0
565907890438631,4,71,11748,1611,0
566197200751053,11,90,11508,4021,0
567950164682827,10,89,11567,3884,0
580542153603463,6,87,10304,2523,0
580542267347993,11,92,11328,4221,0
580542308477271,7,86,10659,2706,0
580542309452461,4,79,10538,1667,0
563130012012544,11,89.25,12437,4030,0
563206840524801,9,83,13515,3443,0
563423725101056,7,89,10954,2649,0
563479698669570,9,78,13339,3566,0
563707753205760,7,94,10507,2679,0
564186329653249,3,92,14602,1188,0
564742860841513,4,90,10283,1528,0
565042584949733,23,94,19726,8627,0
565360803318317,6,86,9950,2508,0
566148856229004,7,93,11514,2750,0
566294965652514,10,97,18083,4010,0
566363148781974,6,87,9031,2383,0
567950181648614,5,84,9704,2120,0
567950191799754,14,89,12884,5220,0
580542171223836,18,99,14967,6716,0
564011639312386,8,91,15597,3099,0
564973093333878,8,80,10598,3153,0
565149765217127,4,81,8791,1783,0
565233619185498,14,98,16413,5172,0
565270837664987,14,98,11943,5297,0
567950042373097,18,99,17145,6906,0
567950089442549,13,93,13410,4962,0
580542158592699,4,89,8436,1549,0
580542229128977,4,84,8847,1507,0
580542232814549,14,72,13864,5261,0
580542256652791,4,91,8847,1461,0
580542263243889,8,88,12013,3079,0
565326391879113,11,92,13187,4135,0
565370658037361,3,79,14842,1307,0
565911416407939,10,88,11129,3705,0
566029862709220,6,89,9930,2510,0
567949982503928,4,94,14286,1727,0
567950018499528,10,99,11118,3680,0
567950156674736,7,63,11240,2768,0
580542187740830,9,98,11792,3406,0
580542223294816,8,96,14221,3012,0
580542225246312,5,87,9613,1851,0
580542246791120,5,90,10603,2002,0
580542260755136,20,94,16343,7556,0
580542286497636,3,81,9204,1357,0
563159383670787,8,89,12456,2963,0
563531576315904,19,75,14020,7201,0
563883193073664,26,89,17540,9843,0
564462776820651,13,92,14128,5016,0
564920778625225,4,98,13174,1580,0
565198036804856,6,78,11369,2389,0
565296234901127,10,92,12288,3791,0
567949998708402,5,93,9558,1831,0
567950197972955,3,80,9968,1290,0
580542157274645,9,96,10255,3532,0
580542225484819,5,93,9233,1830,0
580542262033143,7,93,10485,2852,0
580542302032715,8,88,11213,3181,0
580542302273805,7,88,10400,2774,0
563315684413441,9,96,18430,3520,0
563714571894784,-1,70,11067,-1,0
564293737123842,8,83,11668,3196,0
565342654506877,5,82,13112,1921,0
565571371010610,20,84,18812,7489,0
566243212012943,5,80,10644,1875,0
567949966450896,14,93,15607,5119,0
567949972682867,9,100,13518,3392,0
567950086671844,4,87,9060,1622,0
580542145837298,17,87,14482,6291,0
580542235813398,7,100,10501,2685,0
580542287254300,4,91,10390,1810,0
580542293023215,8,84,12422,3105,0
563803648954369,5,63,13934,2138,0
563882519302146,13,85,14544,4785,0
564516326151214,3,77,11714,1312,0
564756792547139,11,78,10994,4091,0
565411093152244,11,80,14006,4232,0
565708565654207,15,86,14555,5570,0
565741577185766,10,81,10915,3792,0
580542159885703,12,88,17179,4743,0
580542249301973,10,89,11542,3776,0
580542301972077,8,86,9660,2970,0
580542308517165,4,97,9083,1777,0
564214947520512,13,89,14868,4822,0
564307626688513,13,88,11623,4946,0
565597262719604,8,86,11556,2957,0
565687483838025,27,86,17621,10000,0
566313001092007,8,88,11967,3135,0
567949955796780,10,87,14545,3735,0
567950157534358,13,100,11629,4843,0
580542229146184,13,93,15306,4853,0
580542249081128,3,85,11123,1117,0
580542350342109,11,89,12104,4082,0
563961926582272,34,94,20528,12511,0
564747530929221,10,99,11754,3700,0
565508189851486,12,92,16175,4498,0
565784275852056,11,98,16060,4132,0
565830921038660,7,78,10284,2848,0
565966045911257,8,84,17797,3240,0
566254607151062,20,94,16308,7397,0
567949968667273,17,80,16024,6311,0
567950113288269,5,83,9924,2147,0
567950113981577,4,89,8335,1515,0
580542140568071,4,93,8578,1811,0
580542157344809,7,89,11323,2684,0
580542175349493,12,99,12591,4561,0
580542187344790,4,89,10237,1805,0
580542235657521,4,80,9507,1552,0
580542291856495,6,89,11653,2322,0
563582633443329,5,81,14453,1990,0
564325504191584,7,80,11623,2656,0
565190882690923,10,95,11636,3702,0
565502833140676,3,85,9498,1317,0
565693590151742,5,97,15714,2158,0
566339800533897,8,87,18603,3163,0
567950022280028,8,98,11117,2930,0
567950033732142,17,89,13576,6332,0
567950077638570,17,99,13496,6424,0
567950085684195,16,90,13544,6074,0
567950092027928,4,83,10824,1500,0
567950135504416,5,86,8586,1853,0
567950176247130,5,88,8534,1826,0
580542167508565,14,89,16119,5274,0
580542231051248,6,92,9621,2306,0
580542276900160,11,93,13692,4174,0
580542285821829,6,81,11206,2232,0
580542294518324,8,91,9897,3001,0
564453174806582,9,93,11729,3489,0
565094267360560,6,92,11386,2372,0
565156979681438,7,94,13621,2785,0
565429172707104,5,97,8850,1878,0
565447524954034,25,97,18187,9474,0
565921883230752,5,97,10949,1889,0
566421129202651,8,90,11133,3084,1
580542178938275,16,92,13594,6120,0
580542269955219,6,89,10975,2508,0
563496488992769,5,90,11489,2189,0
563801240506368,6,92,9628,2498,0
564200903614465,5,95,14407,2173,0
564798565852148,14,100,14853,5207,0
565546058786416,4,88,9805,1523,0
565559318086871,8,91,10895,2994,0
565567550264591,4,96,9568,1508,0
565859292622613,12,85,11577,4455,0
566310989729550,7,96,12311,2909,0
566311961494368,9,99,10644,3591,0
567950178611866,3,94,10958,1406,0
580542182455934,9,92,12693,3517,0
580542240647102,7,99,10625,2582,0
580542252406396,4,98,8839,1528,0
580542257604020,6,81,10841,2421,0
580542258012304,5,90,12214,2008,0
580542267842067,12,90,12016,4513,0
580542294873634,6,77,10668,2214,0
565455783532328,14,88,14166,5461,0
566247766360606,20,88,14254,7355,0
567950067049677,4,93,9338,1538,0
567950192390516,10,96,13816,3772,0
567950195338817,6,74,10740,2448,0
580542296684459,12,97,15717,4436,0
580542297293837,10,89,10848,3713,0
563988370694147,8,90,11023,2921,0
564127129276418,4,89,15087,1670,0
565009226344311,6,81,10400,2279,0
565409975315532,17,93,14093,6388,0
565910542097520,7,95,16653,2704,0
566514394278685,5,99,11283,2120,0
567950090238901,9,94,13162,3447,0
567950180753656,9,91,11997,3441,0
580542158787793,6,81,13429,2551,0
580542222739388,16,98,14454,5945,0
580542256199720,9,100,12653,3471,0
580542278376095,4,95,11363,1781,0
580542290707870,4,98,9300,1727,0
580542294534418,14,100,14749,5273,0
580542297470238,13,91,13750,4906,0
580542303538468,8,88,12545,3078,0
580542316474244,7,91,10298,2638,0
563672986947585,18,86,17546,6641,0
563787218231301,23,94,15329,8432,0
563831196819460,10,93,14302,3812,0
563923315466243,7,94,12307,2720,0
565093162358616,5,85,9056,2141,0
565287937315603,7,80,13282,2881,0
565299681961284,11,98,11786,4357,0
565300160368184,3,80,17078,1305,0
565342521333994,5,87,14468,2148,0
565350561093030,21,93,15453,7989,0
565574456974609,7,79,13498,2688,0
565727584323944,10,96,11340,3845,0
565905494841462,3,89,9248,1362,0
566294426357973,8,91,11368,3055,0
567949965867789,3,93,11034,1441,0
567950107373225,8,89.1,12647,2949,0
580542247635065,6,90,10973,2221,0
580542258952225,16,87,12804,6172,0
580542279244659,7,89,10592,2707,0
580542279889339,3,91,11139,1416,0
580542283177731,5,85,10136,2137,0
580542285229729,9,92,10633,3378,0
580542339770828,10,85,14061,3657,0
563679158992896,5,87,15324,2131,0
564420270558572,12,91.25,11918,4601,0
565338842662514,10,74,10770,4003,0
566204243779620,15,92,12442,5811,0
566401629235483,4,83,9305,1511,0
567950171536848,15,94,15267,5509,0
580542257108564,9,95,15850,3593,0
580542275611994,3,89,8265,1427,0
580542277318424,6,94,12881,2553,0
564413566421617,6,91,10328,2260,0
565423208403526,5,83,10353,2168,0
565860196551811,20,91,17018,7408,0
567950072289925,5,96,11447,1990,0
567950139001511,4,91,9538,1685,0
580542175320391,4,91,10060,1467,0
580542246939523,8,88,9596,2943,0
580542258696243,10,75,11717,3653,0
580542261578059,5,92,13131,2103,0
580542263526387,6,91,9420,2287,0
565158009962820,9,92,11554,3509,0
565479453174818,12,81,12635,4566,0
566157693623904,6,78,11706,2367,0
566254374759213,4,96,10004,1748,0
566479978114581,6,92,12121,2329,0
567950000172750,7,87,9593,2760,0
580542148056072,6,76,10351,2279,0
580542159991718,9,93,12414,3343,0
580542181271726,7,96,12633,2825,0
580542295942460,7,84,12951,2850,0
564046246580224,4,84,14039,1780,0
565630525775405,9,96,12183,3561,0
565744731498119,11,86,13352,4344,0
565746056373960,13,91,13139,5064,0
566254378551892,4,78,11320,1813,0
567950036728777,18,99,15670,6701,0
567950115342663,5,89,9750,1864,0
567950191985599,11,91,10871,4063,0
580542231928227,5,98,8815,1865,0
580542235801709,10,87,12033,3896,0
580542261141694,6,87,8964,2341,0
580542267359678,11,100,11664,4357,0
580542308973457,23,89,17893,8725,0
580542314975159,7,96,10641,2845,0
563423877533696,9,89,11435,3525,0
564585433074646,16,88,14180,5931,0
564628852901246,8,85,9834,3047,0
564947691579077,4,86,11707,1787,0
565143794557702,21,100,15212,7703,0
565456026806254,3,91,13568,1360,0
580542173620048,9,92,12505,3467,0
580542247476728,4,85,13715,1686,0
580542308069010,11,89,14878,4213,0
580542312558296,8,78,10635,3053,0
563239962284032,15,87,14090,5696,0
563672927436801,17,85.1,16587,6304,0
564402290172291,7,90,11088,2866,0
564524407464835,7,87,9566,2825,0
565088149249286,15,90,12737,5703,0
566117792098018,9,88,10960,3632,0
566328104389959,8,91,9897,3008,0
567950141909543,10,85.8,12885,3958,0
567950188988893,5,90,10376,2028,0
580542170488075,9,77,13339,3635,1
580542236711543,6,97,11562,2370,0
580542292468697,8,93,12529,3104,0
580542302568363,15,97,13660,5814,0
565176727109746,4,90,9623,1580,0
565240663124473,3,92,12449,1382,0
565789964175183,16,93,13401,5976,0
566112219439268,10,84,11133,3951,0
566225717494758,5,95,9896,2154,0
567950191624512,6,74,11123,2439,0
580542140392868,4,96,11545,1747,0
580542227668214,10,92,11685,3980,0
580542228156408,11,91,12038,4332,0
580542231020676,3,94,8565,1451,0
580542253435290,5,89,11327,2087,0
580542264144788,4,94,8670,1771,0
580542266279748,5,100,9798,2133,0
580542267799657,16,91,14960,6192,0
564001170923521,5,79,11327,1829,0
564392874086714,25,91.25,16825,9465,0
565271105182683,17,94,14012,6522,0
565308756464786,12,82,11448,4681,0
565574677634866,11,92,13848,4336,0
567949976467834,5,92,11961,2158,0
567950014181493,3,96,10287,1432,0
567950112513573,3,80,11734,1344,0
580542174127669,5,87,9889,2042,0
580542230104835,10,93,14584,3965,0
580542247134649,3,80,9017,1371,0
580542265728903,4,93,8475,1748,0
563852844273664,15,80,12548,5583,0
564007336808450,8,88,10756,3279,0
564453906325076,4,86,12213,1623,0
564911601561334,6,91,9939,2330,0
565262399248058,17,97,12951,6324,0
565359633500805,4,76,10118,1790,0
565402057778118,3,93,11753,1390,0
567949990203420,9,96,11913,3534,0
567950093094318,12,86,11537,4689,0
567950159314626,4,99,8893,1562,0
580542173330499,23,98,16533,8735,0
580542234090170,4,97,14125,1553,0
580542238186988,7,99,11643,2821,0
563656966995969,5,87,10141,1827,0
563765100875777,10,90,14794,3820,0
564772711113025,7,77,9536,2851,0
565281369884783,6,90,12059,2508,0
565693526445491,7,79,10898,2799,0
567950120203065,5,91,15042,1852,0
567950158636219,5,90,12813,1902,0
567950192327411,5,94,10355,1942,0
580542175423215,6,80,9775,2369,0
580542304365797,22,90,15407,8091,0
562950069383754,5,90,11299,1934,0
565361376364189,14,94,15003,5291,0
567949965200542,10,89,12423,3936,0
567950180262721,7,95,11224,2835,0
580542239556116,8,95,13460,3141,0
580542264597475,14,90,12761,5441,0
580542291855876,10,80,11072,3755,0
580542339298960,9,94,9913,3297,0
563634536845312,9,91,12814,3440,0
565019710982546,7,66,9571,2799,0
565460033744265,10,84,10647,3835,0
565496553738915,7,94,10108,2889,0
565729156144544,10,90,10572,3692,0
567950084872370,15,91,12326,5536,0
567950085063925,9,80,12070,3407,0
567950099857123,18,99,15838,6823,0
567950151628157,7,75,10142,2705,0
567950165866348,6,92,10503,2265,0
580542240421605,7,99,10011,2628,0
580542248803737,7,94,10547,2693,0
580542268547616,4,86,9751,1525,0
580542276028457,4,84,8826,1650,0
580542277480869,7,88,11098,2643,0
580542302496503,10,80,11126,3658,0
563241360953345,6,88,13348,2213,0
564597008959439,6,90,15147,2251,0
564873577237749,4,89,9131,1748,0
565842821054813,20,100,19291,7625,0
566182647437770,8,95,14400,2960,0
566530721655202,9,90,11583,3327,0
567949992872162,9,92,11949,3329,0
567950057665988,7,99,10182,2886,0
580542170679480,5,80,9179,1978,0
580542173475491,4,88,11233,1781,0
564423970001162,7,97,12011,2578,0
564758486515877,12,89,11447,4391,0
565150330530580,4,87,13527,1651,0
565359670340126,4,78,13805,1601,0
565687915192120,5,100,13917,1871,0
565806170385130,9,98,13208,3446,0
567949962824621,10,94,16361,3705,0
567949968475379,7,90,12459,2887,0
567950001268303,9,77,10398,3401,0
567950047470189,4,82,10070,1522,0
567950146505119,18,97,15267,6712,0
580542147615013,4,71,11097,1613,0
580542288071443,7,90,12274,2608,0
580542313255763,9,94,12026,3342,0
563662891581441,11,89,11148,4322,0
563753462403073,6,80,12329,2258,0
564545923915461,13,89,16444,4787,0
565092705836054,9,89,14395,3454,0
565230438777684,7,83,14778,2686,0
565501401893590,7,90,10183,2686,0
565706506570277,10,93,12425,3874,0
565825900260908,13,94,12590,4841,0
566139821687146,9,84,10287,3289,0
567949999739848,4,90,9545,1616,0
567950119173696,8,91,11905,2953,0
567950146911400,10,95,17385,3814,0
567950162794850,6,80,9351,2375,0
567950181135252,12,100,13915,4743,0
580542166604706,11,80,11226,4268,0
580542299784050,11,100,11284,4079,0
580542303304762,10,88,14383,3663,0
563485741948928,4,93,12489,1739,0
563559247716352,20,95.35,16003,7530,0
564602088984403,8,99,11127,3253,0
566363490882395,5,85,8686,1871,0
567950028147005,21,69,15557,7863,0
580542143944521,4,93,12222,1567,0
580542153424563,16,90,13530,6158,0
580542274071497,6,100,11928,2273,0
580542283711114,15,97,13273,5735,0
580542299976109,9,95,14332,3596,0
563690408058880,4,93,16708,1728,0
563753821667328,13,79,12686,4882,0
564924833206285,22,86,18650,8189,0
565677417438203,4,89,11656,1735,0
565681865366968,9,93,11959,3327,0
565970830562145,15,93,15776,5682,0
567950154825754,5,87,8658,1831,0
580542263357428,8,99,10557,3008,0
580542273057918,5,91,10447,1979,0
580542273922510,5,100,12750,2036,0
580542299612020,8,82,13975,2945,0
580542300294130,9,88,10979,3349,0
580542304057577,3,80,9475,1293,0
580542326819232,9,89,10542,3345,0
580542331016906,4,79,10447,1482,0
563695198281728,18,93,17025,6669,0
564488190174817,3,92,10508,1377,0
564631013365128,10,92,13698,3940,0
566198734302378,9,97,11402,3301,0
567950082693299,10,92,15677,3709,0
567950189400434,10,95,11919,3691,0
567950189593579,10,97,16833,3762,0
580542188646369,4,97,9792,1791,0
580542298480961,13,98,18012,4836,0
563835429851138,11,85,13882,4304,0
563878096347136,6,68,9848,2239,0
565127904369115,19,90,14912,7255,0
565229266739964,4,95,9895,1537,0
565835677371449,6,85,12058,2319,0
566113765433978,19,91,13910,7138,0
566384910729915,17,99,14003,6346,0
567950127927158,5,100,10967,1907,0
580542228098388,16,81,12700,6026,0
580542245940200,5,96,8718,1922,0
580542281517426,14,91,15627,5178,0
